Location,Count
"Geneva, AL",1
"Albertville, AL",1
"Andalusia, AL",1
"Anniston, AL",1
"Athens, AL",1
"Atmore, AL",1
"Auburn, AL",1
"Bay Minette, AL",1
"Bessemer, AL",1
"Birmingham, AL",5
"Boaz, AL",1
"Brewton, AL",1
"Center Point, AL",1
"Clanton, AL",1
"Cullman, AL",1
"Daphne, AL",1
"Decatur, AL",1
"Dothan, AL",3
"Enterprise, AL",1
"Florence, AL",1
"Foley, AL",1
"Fort Payne, AL",1
"Fort Rucker, AL",1
"Gadsden, AL",2
"Grand Bay, AL",1
"Gurley, AL",1
"Hanceville, AL",1
"Harpersville, AL",1
"Hoover, AL",1
"Huntsville, AL",4
"Jackson, AL",1
"Jasper, AL",1
"Leeds, AL",1
"Lincoln, AL",1
"Mc Calla, AL",1
"Millbrook, AL",1
"Mobile, AL",7
"Montgomery, AL",7
"Northport, AL",1
"Oxford, AL",1
"Ozark, AL",1
"Pelham, AL",1
"Phenix City, AL",2
"Prattville, AL",1
"Rainbow City, AL",1
"Saraland, AL",2
"Scottsboro, AL",1
"Selma, AL",1
"Semmes, AL",1
"Shorter, AL",1
"Spanish Fort, AL",1
"Sylacauga, AL",1
"Talladega, AL",1
"Troy, AL",1
"Tuscaloosa, AL",2
"Tuskegee, AL",1
"Valley, AL",1
"Wetumpka, AL",1
"Anchorage, AK",1
"Fort Wainwright, AK",1
"Jber, AK",1
"Avondale, AZ",1
"Casa Grande, AZ",1
"Chandler, AZ",2
"Fort Huachuca, AZ",1
"Gilbert, AZ",3
"Glendale, AZ",5
"Goodyear, AZ",1
"Green Valley, AZ",1
"Guadalupe, AZ",1
"Holbrook, AZ",1
"Kingman, AZ",1
"Laveen, AZ",1
"Mesa, AZ",4
"Peoria, AZ",1
"Phoenix, AZ",5
"Prescott Valley, AZ",1
"Queen Creek, AZ",1
"Scottsdale, AZ",2
"Sun City, AZ",1
"Surprise, AZ",1
"Tempe, AZ",2
"Tolleson, AZ",1
"Tucson, AZ",7
"Willcox, AZ",1
"Batesville, AR",1
"Benton, AR",1
"Blytheville, AR",1
"Bryant, AR",1
"Cabot, AR",1
"Camden, AR",1
"Centerton, AR",1
"Conway, AR",2
"Crossett, AR",1
"El Dorado, AR",1
"Fayetteville, AR",1
"Forrest City, AR",1
"Fort Smith, AR",2
"Hot Springs, AR",3
"Jacksonville, AR",1
"Jonesboro, AR",2
"Little Rock, AR",8
"Monticello, AR",1
"Mountain Home, AR",1
"North Little Rock, AR",4
"Paragould, AR",1
"Pine Bluff, AR",2
"Rockport, AR",1
"Rogers, AR",2
"Russellville, AR",1
"Searcy, AR",1
"Sherwood, AR",1
"Siloam Springs, AR",1
"Springdale, AR",2
"Stuttgart, AR",1
"Texarkana, AR",1
"Van Buren, AR",1
"West Memphis, AR",1
"White Hall, AR",1
"Wynne, AR",1
"Alhambra, CA",1
"Anaheim, CA",3
"Anderson, CA",1
"Antioch, CA",1
"Artesia, CA",1
"Arvin, CA",1
"Azusa, CA",1
"Bakersfield, CA",7
"Barstow, CA",1
"Beaumont, CA",1
"Bellflower, CA",1
"Berkeley, CA",1
"Blythe, CA",1
"Buena Park, CA",1
"Burbank, CA",2
"Buttonwillow, CA",1
"Canoga Park, CA",1
"Carson, CA",1
"Chico, CA",1
"Chino, CA",1
"Citrus Heights, CA",2
"Coachella, CA",1
"Colma, CA",1
"Colton, CA",1
"Commerce, CA",1
"Compton, CA",1
"Compton Ca, CA",1
"Concord, CA",1
"Corona, CA",1
"Covina, CA",1
"Dixon, CA",1
"Dublin, CA",1
"Edwards Afb, CA",1
"El Cajon, CA",1
"El Cerrito, CA",1
"El Monte, CA",1
"Elk Grove, CA",1
"Escondido, CA",1
"Fairfield, CA",1
"Fontana, CA",2
"Fort Irwin, CA",1
"Fremont, CA",1
"Fresno, CA",5
"Garden Grove, CA",2
"Gardena, CA",1
"Gilroy, CA",1
"Hanford, CA",1
"Hawaiian Gardens, CA",1
"Hawthorne, CA",2
"Hayward, CA",1
"Hemet, CA",1
"Hesperia, CA",2
"Highland, CA",1
"Hollywood, CA",1
"Huntington Beach, CA",1
"Inglewood, CA",1
"La Habra, CA",1
"La Mirada, CA",1
"La Palma, CA",1
"La Puente, CA",1
"Lake Elsinore, CA",1
"Lancaster, CA",1
"Lathrop, CA",1
"Lemon Grove, CA",1
"Lemoore, CA",1
"Livermore, CA",1
"Livingston, CA",1
"Lodi, CA",1
"Lomita, CA",1
"Long Beach, CA",5
"Los Angeles, CA",13
"Lynwood, CA",1
"Manteca, CA",1
"Marysville, CA",1
"Merced, CA",1
"Milpitas, CA",1
"Mission Viejo, CA",1
"Modesto, CA",2
"Monrovia, CA",1
"Montebello, CA",1
"Moorpark, CA",1
"Moreno Valley, CA",2
"Murrieta, CA",2
"N Hollywood, CA",2
"National City, CA",2
"Newark, CA",1
"Newhall, CA",1
"Norco, CA",1
"North Highlands, CA",1
"Norwalk, CA",1
"Oakland, CA",3
"Oakley, CA",1
"Oceanside, CA",2
"Ontario, CA",3
"Oroville, CA",1
"Oxnard, CA",2
"Pacoima, CA",1
"Palm Desert, CA",1
"Palmdale, CA",1
"Pasadena, CA",2
"Perris, CA",2
"Pico Rivera, CA",1
"Pittsburg, CA",1
"Pomona, CA",1
"Ramona, CA",1
"Rancho Cordova, CA",1
"Rancho Cucamonga, CA",1
"Redding, CA",3
"Redwood City, CA",1
"Reseda, CA",1
"Rialto, CA",1
"Riverside, CA",2
"Rohnert Park, CA",1
"Roseville, CA",1
"Sacramento, CA",8
"San Bernardino, CA",2
"San Bruno, CA",1
"San Diego, CA",10
"San Fernando, CA",1
"San Francisco, CA",3
"San Gabriel, CA",1
"San Jose, CA",8
"San Leandro, CA",1
"San Lorenzo, CA",1
"San Luis Obispo, CA",1
"San Pablo, CA",1
"Santa Ana, CA",2
"Santa Clara, CA",1
"Santa Clarita, CA",2
"Santa Maria, CA",1
"Santa Nella, CA",1
"Santa Rosa, CA",1
"Sepulveda, CA",1
"Simi Valley, CA",1
"South Gate, CA",1
"South San Francisco, CA",1
"Stockton, CA",2
"Suisun City, CA",1
"Sunland, CA",1
"Sunnyvale, CA",1
"Sylmar, CA",1
"Temecula, CA",1
"Torrance, CA",2
"Tracy, CA",1
"Travis Afb, CA",1
"Tulare, CA",1
"Turlock, CA",1
"Union City, CA",1
"Upland, CA",1
"Vacaville, CA",1
"Vallejo, CA",2
"Van Nuys, CA",1
"Victorville, CA",1
"Visalia, CA",1
"Vista, CA",1
"Watsonville, CA",1
"Westlake Village, CA",1
"Westminster, CA",2
"Whittier, CA",1
"Yorba Linda, CA",1
"Yuba City, CA",1
"Yucca Valley, CA",1
"Arvada, CO",1
"Aurora, CO",4
"Brighton, CO",1
"Broomfield, CO",1
"Castle Rock, CO",1
"Clifton, CO",1
"Colorado Springs, CO",5
"Commerce City, CO",2
"Denver, CO",7
"Erie, CO",1
"Firestone, CO",1
"Fountain, CO",1
"Greeley, CO",1
"Lakewood, CO",1
"Lone Tree, CO",1
"Longmont, CO",1
"Pueblo, CO",2
"Thornton, CO",3
"Thorton, CO",1
"Wheat Ridge, CO",1
"Branford, CT",1
"Bridgeport, CT",2
"Bristol, CT",1
"Danbury, CT",1
"Derby, CT",1
"Groton, CT",1
"Hamden, CT",1
"Hartford, CT",2
"Manchester, CT",1
"Meriden, CT",1
"Milford, CT",1
"Milldale, CT",1
"New Britain, CT",1
"New Haven, CT",3
"New London, CT",1
"North Haven, CT",1
"Norwalk, CT",2
"Norwich, CT",1
